junction,betweenness,degree_centrality,eigenvector,degree,latitude,longitude,event_count,corridor,betweenness_norm,degree_centrality_norm,eigenvector_norm
binnymilljunction,0.131944,0.013652,0.0,4,12.9700048,77.5679993,7,non-corridor,1.0,0.4285714285714286,0.0
biryandcircle,0.127676,0.017065,0.0,5,12.9641306,77.5698992,5,mysore road,0.9676529436730734,0.5714285714285715,0.0
queensstatuecircle,0.123116,0.017065,0.0,5,12.9767292,77.5991521,9,old madras road,0.9330928272600497,0.5714285714285715,0.0
gopalgowdajunc,0.120805,0.020478,0.0,6,12.9787147,77.5912522,3,non-corridor,0.9155778208937124,0.7142857142857143,0.0
shantalajunction,0.11957,0.017065,0.0,5,12.9747553,77.570277,15,non-corridor,0.9062177893651852,0.5714285714285715,0.0
dairycircle,0.116661,0.017065,0.0,5,12.936683,77.60281,5,bannerghata road,0.8841705572060874,0.5714285714285715,0.0
mintojunction,0.112568,0.023891,0.0,7,12.9603495,77.5718749,5,non-corridor,0.8531498211362396,0.8571428571428572,0.0
"trilightcircle,racecourseroad",0.102705,0.017065,0.0,5,12.984309145000001,77.582696795,2,non-corridor,0.7783984114472806,0.5714285714285715,0.0
richmondcirclejn,0.10161,0.013652,0.0,4,12.96515466,77.5962145,11,mysore road,0.7700994361244164,0.4285714285714286,0.0
kcghospitaljunction,0.099255,0.013652,0.0,4,12.99931805,77.57141139999999,2,non-corridor,0.752250954950585,0.4285714285714286,0.0
leprosyhospitaljunc,0.097697,0.017065,0.0,5,12.9757645,77.5645174,21,magadi road,0.7404429151761354,0.5714285714285715,0.0
krishnaflourmill,0.096863,0.023891,0.0,7,12.9847744,77.5723991,19,non-corridor,0.7341220517795428,0.8571428571428572,0.0
msramaiahhospitaljunc,0.096284,0.017065,0.0,5,13.0278807,77.5742038,1,non-corridor,0.7297338264718365,0.5714285714285715,0.0
hosmatjunction,0.095856,0.020478,0.0,6,12.9683891,77.6143516,3,non-corridor,0.7264900260716667,0.7142857142857143,0.0
siddapurajunction,0.09398,0.013652,0.0,4,12.9493392,77.5943794,5,non-corridor,0.7122718729157824,0.4285714285714286,0.0
hudsoncircle,0.091986,0.020478,0.0,6,12.967792045,77.5907259,16,mysore road,0.6971594009579821,0.7142857142857143,0.0
anilkumblecircle,0.086442,0.013652,0.0,4,12.9763755,77.6017038,8,old madras road,0.6551415752137271,0.4285714285714286,0.0
cashpharmacyjunction,0.086408,0.013652,0.0,4,12.9652497,77.5997413,3,mysore road,0.6548838901352089,0.4285714285714286,0.0
wilsongarden10thcrossjunc,0.086064,0.013652,0.0,4,12.946068635,77.59552605,6,non-corridor,0.6522767234584369,0.4285714285714286,0.0
karnatakabhavanjunction,0.083078,0.017065,0.0,5,12.98205505,77.5644881,9,non-corridor,0.6296459103862244,0.5714285714285715,0.0
nimhansjunction,0.081349,0.013652,0.0,4,12.94019295,77.5976671,6,non-corridor,0.6165418662462863,0.4285714285714286,0.0
hebbalflyoverjunc,0.079748,0.017065,0.0,5,13.04236735,77.59067465000001,28,bellary road 1,0.60440793063724,0.5714285714285715,0.0
oldmadrasrd-bmtcdepotjunc,0.079401,0.017065,0.0,5,12.9825565,77.6353914,1,old madras road,0.6017780270417753,0.5714285714285715,0.0
tatainstitutecircle,0.078965,0.020478,0.0,6,13.0141278,77.56586585,12,tumkur road,0.5984735948584247,0.7142857142857143,0.0
ashirwadamcircle,0.077459,0.020478,0.0,6,12.9706591,77.6040613,5,mysore road,0.5870596616746498,0.7142857142857143,0.0
yeshwanthpuracircle,0.077029,0.017065,0.0,5,13.01784565,77.55689925,38,tumkur road,0.5838007033286848,0.5714285714285715,0.0
ramaiahcircle-ulsoorpolicestation,0.075942,0.017065,0.0,5,12.9757906,77.6262856,9,old madras road,0.5755623597890014,0.5714285714285715,0.0
rajajinagarentrancejunction,0.074854,0.013652,0.0,4,12.9829842,77.5603629,5,non-corridor,0.5673164372764203,0.4285714285714286,0.0
ucobank(forum),0.07464,0.013652,0.0,4,12.933905,77.612605,2,hosur road,0.5656945370763353,0.4285714285714286,0.0
dmroadjunc(basavangudi),0.074534,0.013652,0.0,4,12.943615,77.5722,1,non-corridor,0.5648911659491905,0.4285714285714286,0.0
lalbaghmaingatejunc,0.074516,0.017065,0.0,5,12.953966600000001,77.5854253,6,non-corridor,0.5647547444370339,0.5714285714285715,0.0
cid-carltonhousejunc,0.074035,0.017065,0.0,5,12.9801916,77.5860983,9,non-corridor,0.5611092584732917,0.5714285714285715,0.0
bmtcjunction-khroad,0.073794,0.017065,0.0,5,12.95671621,77.59253751,10,non-corridor,0.5592827260049718,0.5714285714285715,0.0
siddalingaiahcircle,0.073174,0.013652,0.0,4,12.9717317,77.5940561,11,mysore road,0.5545837628084642,0.4285714285714286,0.0
sarjapurrd-stjohnsrdjunc,0.072808,0.017065,0.0,5,12.927597899999999,77.6159421,10,hosur road,0.5518098587279452,0.5714285714285715,0.0
southendcircle,0.071883,0.017065,0.0,5,12.93726,77.57974,3,non-corridor,0.5447993087976717,0.5714285714285715,0.0
begummahaljunc,0.070582,0.017065,0.0,5,12.97595565,77.6200267,4,non-corridor,0.5349390650579033,0.5714285714285715,0.0
ashoknagarjunction(shoolaycircle),0.070317,0.023891,0.0,7,12.96634985,77.60674215,6,mysore road,0.5329306372400412,0.8571428571428572,0.0
motherteressacircle,0.069922,0.020478,0.0,6,12.9666771,77.609077,11,mysore road,0.529936942945492,0.7142857142857143,0.0
commandohospitaljunc,0.069285,0.020478,0.0,6,12.966361849999998,77.6244462,6,non-corridor,0.5251091372097253,0.7142857142857143,0.0
vetenaryhospitaljunc-shivajinagar,0.06738,0.023891,0.0,7,12.9890859,77.59903425,4,non-corridor,0.5106711938398107,0.8571428571428572,0.0
bamboobazar(shivajinagar),0.066376,0.017065,0.0,5,12.9930158,77.60516129999999,2,non-corridor,0.5030619050506275,0.5714285714285715,0.0
policetimmaiahcircle(gpo),0.064638,0.017065,0.0,5,12.981998350000001,77.5945414,14,cbd 2,0.48988965015461106,0.5714285714285715,0.0
khodayscircle(dvurscircle),0.064007,0.017065,0.0,5,12.9802583,77.5713868,23,non-corridor,0.4851073182562299,0.5714285714285715,0.0
upparpetjunction,0.063442,0.013652,0.0,4,12.97431308,77.57463606,2,non-corridor,0.4808251985690899,0.4285714285714286,0.0
mekhricircle,0.063382,0.020478,0.0,6,13.0145694,77.5838793,64,bellary road 1,0.4803704601952343,0.7142857142857143,0.0
kensingtonovaljunc,0.063072,0.017065,0.0,5,12.9821285,77.6236031,1,non-corridor,0.47802097859698056,0.5714285714285715,0.0
tumkurrdmarappanapalyajunc,0.062397,0.017065,0.0,5,13.01907235,77.55333325000001,14,tumkur road,0.4729051718911053,0.5714285714285715,0.0
chaudrayacircle/udayatvcircle(cantonmentjunc),0.061336,0.017065,0.0,5,12.9935392,77.5955639,7,non-corridor,0.46486388164675924,0.5714285714285715,0.0
webbscircle,0.06089,0.020478,0.0,6,12.9738007,77.6140393,3,old madras road,0.4614836597344328,0.7142857142857143,0.0
sagartheatrejunc,0.060818,0.017065,0.0,5,12.974235149999998,77.57848089999999,6,non-corridor,0.4609379736858061,0.5714285714285715,0.0
bloodbankcircle,0.060611,0.013652,0.0,4,12.9622758,77.5945534,15,non-corridor,0.45936912629600435,0.4285714285714286,0.0
nagatheaterjunc-ulsoor,0.060508,0.017065,0.0,5,12.9897527,77.6180398,1,non-corridor,0.45858849208755226,0.5714285714285715,0.0
mayohalljunction,0.060061,0.017065,0.0,5,12.9733973,77.610582,5,old madras road,0.45520069120232826,0.5714285714285715,0.0
anepalyajunc,0.059692,0.013652,0.0,4,12.952135635,77.60537049000001,6,hosur road,0.45240405020311647,0.4285714285714286,0.0
shivashankaracircle,0.059596,0.013652,0.0,4,12.9580524,77.5739029,5,non-corridor,0.45167646880494755,0.4285714285714286,0.0
cmhrd-adarshtheaterjunc,0.059579,0.013652,0.0,4,12.9783026,77.6287561,5,old madras road,0.45154762626568845,0.4285714285714286,0.0
shivanahallijunctionwoc,0.059272,0.013652,0.0,4,12.9900396,77.5505643,3,west of chord road,0.44922088158612744,0.4285714285714286,0.0
geethanjalijn,0.059007,0.013652,0.0,4,13.002918300000001,77.57109990000001,2,non-corridor,0.4472124537682653,0.4285714285714286,0.0
tollgatemysoreroad,0.058426,0.013652,0.0,4,12.9574666,77.5519898,33,mysore road,0.4428090705147638,0.4285714285714286,0.0
bucheryjunction,0.058065,0.013652,0.0,4,12.9514566,77.621369,11,non-corridor,0.44007306129873275,0.4285714285714286,0.0
minsksquare(ctojunction),0.057978,0.013652,0.0,4,12.982029350000001,77.59719125000001,8,cbd 2,0.4394136906566422,0.4285714285714286,0.0
cmpgatejunc,0.0578,0.013652,0.0,4,12.957700200000001,77.60594855,20,hosur road,0.43806463348087066,0.4285714285714286,0.0
nationalcollege,0.057428,0.020478,0.0,6,12.9516353,77.5736202,1,non-corridor,0.43524525556296606,0.7142857142857143,0.0
nrsquarejunc,0.056825,0.023891,0.0,7,12.965364600000001,77.58665020000001,10,mysore road,0.43067513490571757,0.8571428571428572,0.0
ngvreargatejunc,0.056318,0.013652,0.0,4,12.9424581,77.62256595,2,non-corridor,0.42683259564663795,0.4285714285714286,0.0
millcornerrd-sampigerdjunc,0.056318,0.013652,0.0,4,12.9920652,77.5714241,9,non-corridor,0.42683259564663795,0.4285714285714286,0.0
